Codigo,Ciudad,Departamento,Barrio,Direccion,Area Terreno,Area Construida,Detalle Disponibilidad,Estrato,Precio,Tipo de Inmueble,Datos Adicionales
19201,MEDELLIN,ANTIOQUIA,,Calle 4 No. 18-55 Apto. 1506 - Torre 1 - Balcones de la Calera,0,0,COMERCIALIZABLE TERCEROS,SEIS,1190905320,APARTAMENTO,"¡EXCELENTE OPORTUNIDAD! APARTAMENTO UBICADO EN EL POBLADO UNIDAD RESIDENCIAL BALCONES DE LA CALERA, ÁREA 241,80 M2. APARTAMENTO CON  3 HABITACIONES CON BAÑO Y CLOSET, ALCOBA PRINCIPAL BAÑO Y VESTIER, COMEDOR, SALA ESTAR, CUARTO Y BAÑO DE SERVICIO, CU"
5117,BOGOTA,CUNDINAMARCA,,KR 16B # 59A-03 SUR Ó CL 59B SUR # 13F-10,710.64,750.64,COMERCIALIZABLE CON RESTRICCION,INDUSTRIAL,1169682630,BODEGA,
19331,VILLAVICENCIO,META,,Calle 34 No. 41 - 31,0,0,COMERCIALIZABLE VENTA ANTICIPADA,CINCO,1040013730,CASA,
17648,BOGOTA,CUNDINAMARCA,,CALLE 82 NO 19A 14,0,0,COMERCIALIZABLE CON RESTRICCION,CINCO,4747362800,CASA,
17745,BOGOTA,CUNDINAMARCA,,CALLE 22D NO. 120-19  -FONTIBÓN,0,0,COMERCIALIZABLE CON RESTRICCION,INDUSTRIAL,25416536260,BODEGA,
17392,BOGOTA,CUNDINAMARCA,,KR 10A 22A 18 SUR - SOSIEGO - SECTOR FUCHA- MZ B-B/36 LT 35,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,866644750,CASA,
19286,BOGOTA,CUNDINAMARCA,,CL 19 13A 12 LOCAL 01,0,0,COMERCIALIZABLE VENTA ANTICIPADA,COMERCIAL,784336820,LOCAL,
17394,BOGOTA,CUNDINAMARCA,,KR 10A-22 S 36,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,713410050,CASA,
19285,BOGOTA,CUNDINAMARCA,,CL 19 13A 12 LOCAL,0,0,COMERCIALIZABLE VENTA ANTICIPADA,COMERCIAL,697548450,LOCAL,
19332,LA CEJA,ANTIOQUIA,,LOTE (1) PA QUE MAS - VEREDA NICOLAS,0,0,COMERCIALIZABLE TERCEROS,RURAL,693405250,LOTE CON CONSTRUCCION,"LOTE CON CONSTRUCCION DE DOS NIVELES TIPO CAMPESTRE CON ÁREA DE  482 MS APROX. Y UN ÁREA DE TERRENO DE 2.617 M2 APROXIMADOS EN MUNICIPIO LA CEJA VERDEA SAN NICOLAS,"
18976,CARTAGENA,BOLÍVAR,,LOTE No. 13 SEGREGADO DEL DENOMINADO GRACIAS A DIOS,0,0,COMERCIALIZABLE,RURAL,4527473614,LOTE INDUSTRIAL,"OPORTUNIDAD DE INVERTIR EN EXCELENTE PREDIO UBICADO SOBRE LA VÍA A MAMONAL, IMPORTANTE SECTOR INDUSTRIAL Y LOGÍSTICO DE CARTAGENA."
19335,TARAZA,ANTIOQUIA,,LETICIA 22 - PIEDRA BRAVA (CULTIVO DE CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,616860411,LOTE CON CONSTRUCCION,"LOTE UBICADO EN EL CORREGIMIENTO DE LA CAUCANA, VEREDA PIEDRA BRAVA DEL MUNICIPIO DE TARAZÁ, LOTE DE TERRENO CON UN ÁREA DESTINADA A CULTIVO DE CAUCHO NO CUENTA CON CONSTRUCCIONES."
19342,TARAZA,ANTIOQUIA,,MONTEPIO 1 VEREDA QUINTERÓN (CULTIVO CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,610203893,LOTE CON CONSTRUCCION,INMUEBLE RURAL UBICADO EN TARAZA ANTIOQUIA DESTINADO A CULTIVO DE CAUCHO CON UNA CONSTRUCCIÓN CON DESTINACIÓN ACTUAL DE ALMACENAMIENTO ADEMÁS CUENTA CON CERCA VIVA DE ÁRBOLES DE TECA.
19343,TARAZA,ANTIOQUIA,,MONTEPIO 2 VEREDA QUINTERÓN (CULTIVO CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,591399414,LOTE CON CONSTRUCCION,"SE ENCUENTRA UBICADO EN EL CORREGIMIENTO DE LA CAUCANA, VEREDA QUINTERÓN DEL MUNICIPIO DE TARAZÁ, ACTUALMENTE LOTE DE TERRENO DESTINADA A CULTIVO DE CAUCHO, EL INMUEBLE SE ENCUENTRA CLASIFICADO DENTRO DEL SUELO RURAL DEL MUNICIPIO, EN ZONA DE INCENTI"
19344,TARAZA,ANTIOQUIA,,MONTEPIO 3 VEREDA QUINTERÓN (CULTIVO CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,589300353,LOTE CON CONSTRUCCION,"SE ENCUENTRA UBICADO EN EL CORREGIMIENTO DE LA CAUCANA, VEREDA QUINTERÓN DEL MUNICIPIO DE TARAZÁ, ACTUALMENTE LOTE DE TERRENO DESTINADA A CULTIVO DE CAUCHO, EL INMUEBLE SE ENCUENTRA CLASIFICADO DENTRO DEL SUELO RURAL DEL MUNICIPIO, EN ZONA DE INCENTI"
19193,CAUCASIA,ANTIOQUIA,,Lote El Triángulo - Cra. 26 con Calle 15,0,0,COMERCIALIZABLE TERCEROS,TRES,552796000,LOTE,"LOTE DE TERRENO DE 4.892 M2, UBICADO EN CARRERA 26 CON CALLE 15, ACTUALMENTE SE ENCUENTRA ADECUADO PARA EL FUNCIONAMIENTO DE UNA CANCHA DE FÚTBOL."
19192,PUERTO BOYACA,BOYACÁ,,Carrera 6 No. 3 Bis 62,0,0,COMERCIALIZABLE TERCEROS,DOS,550361250,CASA,
19181,MONTERIA,CÓRDOBA,,CALLE 64 NO. 8 A 53 - BARRIO LA CASTELLANA,0,0,COMERCIALIZABLE TERCEROS,CINCO,535670500,CASA,
19006,MONTERIA,CÓRDOBA,,CALLE 59 NO. 10 A 48 - BRR. LA CASTELLANA,0,0,COMERCIALIZABLE TERCEROS,CUATRO,514454000,CASA,INMUEBLE PROPIEDAD DE LA UNIDAD DE REPARACIÓN DE VÍCTIMAS - UARIV
19202,TURBO,ANTIOQUIA,,Cra. 13 No. 102-23 - Buenos Aires,0,0,COMERCIALIZABLE TERCEROS,TRES,513681000,BODEGA,"¡GRAN OPORTUNIDAD DE INVERSIÓN!, BODEGA UBICADA EN TURBO BARRIO BUENOS AIRES, SECTOR CENTRAL DE ACTIVIDAD COMERCIAL SE ENCUENTRA CERCA A  CENTRO COMERCIAL SAN DIEGO, CONCEJO MUNICIPAL, IGLESIA NUESTRA SEÑORA DEL CARMEN, EMBARCADERO Y PARQUE DE TURBO."
19303,BOGOTA,CUNDINAMARCA,,Carrera 10 No. 19-79 Ofc. 905 - CAMACOL,0,0,COMERCIALIZABLE TERCEROS,TRES,503871960,OFICINA,
18640,LA DORADA,CALDAS,,INMUEBLE DENOMINADO MORROCOYAL,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,19522132996,FINCA,"LOTE UBICADO EN SECTOR FERIAS VIEJAS DE LS DORADA CALDAS, CUENTA CON VARIAS CONSTRUCCIONES COMO PORTERÍA, BASCULA, AREA DE JUEGOS INFANTILES Y DOS CASAS UNA DE ELLA USADA COMO ALMACENAMIENTO"
12120,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 2,337995,0,COMERCIALIZABLE FIDUCIA,RURAL,5171323500,LOTE VIVIENDA,"EXCELENTE LOTE CON VISTA AL LAGO CALIMA, UBICADO EN EL EXCLUSIVO POYECTO DE CALIMA RESORT, CERCA A SITIOS DE INTERES COMO EL HOTEL COMFANDI."
19287,BOGOTA,CUNDINAMARCA,,CL 19 13A 12 LOCAL 104,0,0,COMERCIALIZABLE VENTA ANTICIPADA,COMERCIAL,466226810,LOCAL,
17345,PEREIRA,RISARALDA,AV 30 DE AGOSTO,CLL 69 O ACEESO A CUBA AV.  30 DE AGOSTO LOTE 2,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,454689116.4,LOTE VIVIENDA,
18983,PUERTO BOYACA,BOYACÁ,,CRA. 5 No. 15 - 40,0,0,COMERCIALIZABLE TERCEROS,TRES,453180000,CASA,INMUEBLE PROPIEDAD DE LA UNIDAD PARA LAS VÍCTIMAS - INICIA RECEPCIÓN DE OFERTAS.
18831,EL PLAYON,SANTANDER,,CR. 5 # 12-47 LT 19 MZ K URB. EL REFUGIO,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,447827419,LOTE VIVIENDA,CISA COMERCIALIZA EL LOTE DE TERRENO SIN LAS MEJORAS EN EL LEVANTADAS.
17797,BOGOTA,CUNDINAMARCA,,CR 70 No. 49-77,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,1448241600,CASA,
10106,BARRANQUILLA,ATLÁNTICO,CENTRO,CALLE 39 NO 43 58 62 LC 1,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,730379000,LOCAL,DESEAS INVERTIR ESTA ES LA OPORTUNIDAD LOCAL EN EL CENTRO DE LA CIUDAD CON UN ÁREA DE 247 METROS
19194,BUENAVISTA,CÓRDOBA,,Finca Nuevo Pensar - Hoy La Cabaña,0,0,COMERCIALIZABLE TERCEROS,RURAL,404780000,FINCA,"FINCA EN BUENA VISTA CORDOBA CORREGIMIENTO BELEN, VEREDA TIERRA SANTA CUENTA CON UN  ÁREA DE  370.000 M2 CUYA VOCACION ACTUAL ES AGROPECUARIO."
19196,MONTERIA,CÓRDOBA,,Parcela 7 Damasco - Vereda Guasimal,0,0,COMERCIALIZABLE TERCEROS,RURAL,392665000,FINCA,"INMUEBLE RURAL DE 35 HA UBICADA EN PARCELA 7 DAMASCO VEREDA GUASIMAL MUNICIPIO DE VALENCIA DEPARTAMENTO DE CÓRDOBA ,LOTE DE TERRENO CON DESTINACIÓN GANADERA"
19333,SONSON,ANTIOQUIA,,BUENOS AIRES - VEREDA LA MESA,0,0,COMERCIALIZABLE TERCEROS,RURAL,389433000,LOTE CON CONSTRUCCION,"INMUEBLE RURAL DESTINADO A VIVIENDA, CUENTA CON CASA PRINCIPAL, PISCINA Y ZONA DURA, PESEBRERA  UBICADO EN VEREDA LA MESA MUNICIPIO DE SONSON"
17653,SOATA,BOYACÁ,,CL 11  No. 4-45/47/49/53,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,682988850,EDIFICIO,
19300,MEDELLIN,ANTIOQUIA,,Cra 43B No. 16 - 95 Edificio Cámara Colombiana de la Infraestructura. Of 0203,0,0,EN PUJA,COMERCIAL,691426800,OFICINA,"OFICINA UBICADA EDIFICIO CÁMARA COLOMBIA DE LA INFRAESTRUCTURA, PORCENTAJE DE PROPIEDAD 43.45% CUENTA CON UN ÁREA DE 98.55 M2,LOCALIZADO EN UN  RECONOCIDO SECTOR DEL POBLADO, EL CUAL CUENTA CON IMPORTANTES VÍAS DE ACCESO Y UBICACIÓN ESTRATÉGICA COMER"
12117,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 3B2,134000,763.06,COMERCIALIZABLE FIDUCIA,RURAL,3027404897,LOTE VIVIENDA,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
19206,MEDELLIN,ANTIOQUIA,,CL 49B  No. 64B-54  ED SAN PABLO  OF 207,0,0,COMERCIALIZABLE VENTA ANTICIPADA,CINCO,268847500,OFICINA,"¡GRAN OPORTUNIDAD! OFICINA UBICADA EN EL EDIFICIO SAN PABLO EN EL BARRIO SURAMERICANA, LA OFICINA  SE DISTRIBUYE DE LA SIGUIENTE MANERA: ACCESO, RECEPCIÓN, OFICINA EN UN SOLO AMBIENTE, DEPOSITO, BAÑO Y COCINA CON UN ÁREA DE 78 M2."
19001,PUERTO BOYACA,BOYACÁ,,CR 6 NO. 15-15,0,0,COMERCIALIZABLE TERCEROS,UNO,268574800,CASA,INMUEBLE PROPIEDAD DE LA UNIDAD DE REPARACIÓN DE VÍCTIMAS - UARIV
17993,BOGOTA,CUNDINAMARCA,,AV. 13 # 108-28/48 APARTASUITE 503. ED. LANCASTER HOUSE P.H.,0,0,COMERCIALIZABLE CON RESTRICCION,SEIS,428457000,APARTAMENTO,"EL EDIFICIO LANCASTER HOUSE PH. DEL QUE HACE PARTE EL APARTA SUITE EN ESTUDIO, ESTÁ UBICADO EN EL COSTADO ORIENTAL DE LA AVENIDA CARRERA 45 (PARALELA ORIENTAL DE LA AUTOPISTA NORTE, ANTES DENOMINADA AVENIDA 13), ENTRE LAS CALLES 106 B Y 107, BARRIO S"
19197,MONTERIA,CÓRDOBA,,Parcela 5 Damasco - Vereda Guasimal,0,0,COMERCIALIZABLE TERCEROS,RURAL,264330000,FINCA,"INMUEBLE RURAL, LOTE DE TERRENO PARCELA #5 DAMASCO VEREDA GUASIMAL MONTERIA - CÓRDOBA CON DESTINACION AGROPECUARIO"
12114,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 1B,175982,0,COMERCIALIZABLE FIDUCIA,RURAL,2704524600,LOTE VIVIENDA,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
12113,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 4,71143,745.33,COMERCIALIZABLE FIDUCIA,RURAL,2700092084,LOTE VIVIENDA,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
19205,MEDELLIN,ANTIOQUIA,,CL 49B  No. 64B-54  ED SAN PABLO  OF 302,0,0,COMERCIALIZABLE VENTA ANTICIPADA,CINCO,253872000,OFICINA,"¡GRAN OPORTUNIDAD! OFICINA UBICADA EN EL EDIFICIO SAN PABLO EN EL BARRIO SURAMERICANA, LA OFICINA  SE DISTRIBUYE DE LA SIGUIENTE MANERA: ACCESO, RECEPCIÓN, OFICINA EN UN SOLO AMBIENTE, DEPOSITO, BAÑO Y COCINA CON UN ÁREA DE 72 M2"
13270,MANIZALES,CALDAS,EL CENTRO,KR 22 # 29-31 LC S-8 CENTRO COMERCIAL PARQUE CALDAS,0,91.47,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,837590790,LOCAL,"LOCAL UBICADO EN EL CENTRO COMERCIAL PARQUE CALDAS- MANIZALES , PORCENTAJE DE PROPIEDAD DEL 28.4016%, CON ÁREA PRIVADA DE 91.47MT2."
19341,TARAZA,ANTIOQUIA,,FINCA LA LUNA AVICOLA SAN JUAN (CULTIVO CAUCHO),0,0,COMERCIALIZABLE TERCEROS,RURAL,230611914,LOTE CON CONSTRUCCION,"LOTE DE 15 HECATRAEAS CON CULTIVO DE CAUCHO UBICADO EN TARZA ANTIOQUIA VEREDA LA PRIMAVERA, ADICIONALMENTE CUENTA CON UNA CONSTRUCCION CON USO ACTUAL DE ALMACENAMIENTO."
19161,SONSON,ANTIOQUIA,,CRA. 1 No. 31-57/63 - CORREGIMIENTO SAN MIGUEL,0,0,COMERCIALIZABLE TERCEROS,UNO,228904300,CASA,"CASA UBICADA EN EL CENTRO DE LA INSPECCION MUNICIPAL DE SAN MIGUEL, CON ÁREA DE 296 M2, DISTRIBUIDOS ASI: SALA COMEDOR BAÑO SOCIAL, COCINA, 5 ALCOBAS CON BAÑO PRIVADO, PATIO, DEPOSITO, ZONA DE LAVADO"
12112,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,RESERVA FORESTAL LT 1A,2187863,0,COMERCIALIZABLE FIDUCIA,RURAL,2406650268,LOTE MIXTO,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
19210,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 204 PARQUEADERO 47,0,0,COMERCIALIZABLE,SEIS,222132480,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19210,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 204 PARQUEADERO 47,0,0,COMERCIALIZABLE VENTA ANTICIPADA,SEIS,222132480,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19203,NORCASIA,CALDAS,,La Esperanza - Vereda La Quiebra de Roque,0,0,COMERCIALIZABLE TERCEROS,RURAL,214110000,FINCA,¡GRAN OPORTUNIDAD! FINCA LA ESPERANZA UBICADA EN NORCASIA- QUIEBRA DE ROCHE
19209,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 203 PARQUEADERO 46,0,0,COMERCIALIZABLE,SEIS,213205760,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19209,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 203 PARQUEADERO 46,0,0,COMERCIALIZABLE VENTA ANTICIPADA,SEIS,213205760,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19211,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 205 PARQUEADERO 48,0,0,COMERCIALIZABLE,SEIS,213205760,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19211,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 205 PARQUEADERO 48,0,0,COMERCIALIZABLE VENTA ANTICIPADA,SEIS,213205760,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
12116,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 3B1,131627,0,COMERCIALIZABLE FIDUCIA,RURAL,2237659000,LOTE VIVIENDA,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
18982,PUERTO BOYACA,BOYACÁ,,CRA. 2 A No. 32 - 11,0,0,COMERCIALIZABLE TERCEROS,DOS,187458000,CASA,INMUEBLE PROPIEDAD DE LA UNIDAD PARA LAS VÍCTIMAS - INICIA RECEPCIÓN DE OFERTAS.
19212,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 206 PARQUEADERO 32,0,0,COMERCIALIZABLE,SEIS,186144000,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19212,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 206 PARQUEADERO 32,0,0,COMERCIALIZABLE VENTA ANTICIPADA,SEIS,186144000,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19213,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 207 PARQUEADERO 33,0,0,COMERCIALIZABLE,SEIS,186144000,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
19213,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 207 PARQUEADERO 33,0,0,COMERCIALIZABLE VENTA ANTICIPADA,SEIS,186144000,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
17573,SANMIGUEL,PUTUMAYO,,CENTRO NACIONAL DE ATENCION DE FRONTERAS - CENAF,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,185848000,LOTE CON CONSTRUCCION,
17358,MANIZALES,CALDAS,,CLL 5A N° 20-88 LOS ALCAZARES,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,182340000,LOTE VIVIENDA,"LOTE PARA VIVIENDA AREA APROXIMADA DE 202.6 MTS, MUNICIPIO MANIZALES SECTOR LOS ALCAZERES"
19162,PIEDECUESTA,SANTANDER,,CRA. 5 C NO. 19-18 - BARRIO PASEO DEL PUENTE,0,0,COMERCIALIZABLE TERCEROS,TRES,178310000,CASA,
19337,TARAZA,ANTIOQUIA,,LETICIA 20 - PIEDRA BRAVA,0,0,COMERCIALIZABLE TERCEROS,RURAL,178106700,LOTE,"INMUEBLE UBICADO EN EL CORREGIMIENTO DE LA CAUCANA, VEREDA PIEDRA BRAVA DEL MUNICIPIO DE TARAZÁ, LOTE DE TERRENO RURAL AGROPECUARIO, CON CULTIVO DE CAUCHO EL INMUEBLE SE ENCUENTRA CLASIFICADO DENTRO DEL SUELO RURAL DEL MUNICIPIO, EN ZONA DE INCENTIVO"
18706,MANIZALES,CALDAS,,CL. 12 # 2A-05 LOCAL B-4 TORRE B,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,168826320,LOCAL,"¡GRAN OPORTUNIDAD!, LOCAL COMERCIAL UBICADO EN MANIZALES EN EL BARRIO VILLA PILAR, CON ÁREA DE 95.49MT2"
18547,BOGOTA,CUNDINAMARCA,,CL 42 A SUR  72H 18,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,167418000,CASA,
12121,CALIMA EL DARIEN,VALLE DEL CAUCA,VEREDA PALERMO,LT 3A,109627.44,0,COMERCIALIZABLE FIDUCIA,RURAL,1754039040,LOTE VIVIENDA,"CISA VENDE DERECHOS FIDUCIARIOS DEL 9.48%

FIDEICOMISO ADMINISTRADO POR ACCION FIDUCIARIA S.A."
18644,BARRANQUILLA,ATLÁNTICO,EL PRADO,CARRERA 54 # 68-124,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,3535117700,LOTE CON CONSTRUCCION,
19214,BARRANQUILLA,ATLÁNTICO,,CR 51 B No. 76-136 ED CENTRO EMPRESARIAL LA PREVISORA OFICINA 208,0,0,COMERCIALIZABLE,SEIS,159019520,OFICINA,"NO PIERDAS LA OPORTUNIDAD DE UBICAR TU OFICINA EN UN EXCELENTE SECTOR DE LA CIUDAD, CUENTA CON EL ESPACIO QUE NECESITAS."
